No;User_id;User_Name;Item_id;Item_name;Rating;PostDate;Bintang_Hotel
64;5335;Sandy Perwira;1;Eastparc Hotel Yogyakarta;5.0;04/04/2022;5
65;6489;yuliana yuliana;1;Eastparc Hotel Yogyakarta;5.0;03/04/2022;5
66;2314;FF;1;Eastparc Hotel Yogyakarta;5.0;03/04/2022;5
67;1877;Edy Purnamajati;1;Eastparc Hotel Yogyakarta;4.0;03/04/2022;5
68;2377;fitriyono nugroho;1;Eastparc Hotel Yogyakarta;5.0;03/04/2022;5
69;5161;RO;1;Eastparc Hotel Yogyakarta;4.4;31/03/2022;5
70;1543;Dewi Susilawati;1;Eastparc Hotel Yogyakarta;5.0;31/03/2022;5
71;2391;FR;1;Eastparc Hotel Yogyakarta;5.0;31/03/2022;5
72;5975;Trifa Dewi;1;Eastparc Hotel Yogyakarta;4.4;31/03/2022;5
73;5956;Tri Purnama Sari;1;Eastparc Hotel Yogyakarta;5.0;28/03/2022;5
74;705;AR;1;Eastparc Hotel Yogyakarta;5.0;27/03/2022;5
75;4443;Nurtika Agriani;1;Eastparc Hotel Yogyakarta;5.0;24/03/2022;5
76;158;AF;1;Eastparc Hotel Yogyakarta;5.0;24/03/2022;5
77;3115;Itha DP;1;Eastparc Hotel Yogyakarta;5.0;23/03/2022;5
78;814;Arrina Ell Khaq;1;Eastparc Hotel Yogyakarta;4.2;22/03/2022;5
79;1095;BK;1;Eastparc Hotel Yogyakarta;4.0;21/03/2022;5
80;3138;Iyus Jayusman;1;Eastparc Hotel Yogyakarta;5.0;21/03/2022;5
81;5840;TH;1;Eastparc Hotel Yogyakarta;5.0;18/03/2022;5
82;1555;DH;1;Eastparc Hotel Yogyakarta;5.0;17/03/2022;5
83;5235;rt azrin nurhasanah;1;Eastparc Hotel Yogyakarta;4.0;17/03/2022;5
84;249;AH;1;Eastparc Hotel Yogyakarta;4.0;17/03/2022;5
85;4768;RAHMAT FACHRI SAFARUDIN;1;Eastparc Hotel Yogyakarta;4.4;16/03/2022;5
86;5733;Susi Indriyani;1;Eastparc Hotel Yogyakarta;5.0;15/03/2022;5
87;4395;Nur Alam Sukarno;1;Eastparc Hotel Yogyakarta;5.0;14/03/2022;5
88;4375;NP;1;Eastparc Hotel Yogyakarta;4.2;14/03/2022;5
89;1775;dwi  wulan sari;1;Eastparc Hotel Yogyakarta;4.4;13/03/2022;5
90;6563;YY;1;Eastparc Hotel Yogyakarta;3.4;12/03/2022;5
91;4851;RE;1;Eastparc Hotel Yogyakarta;4.0;12/03/2022;5
92;2551;Gunawan Sutianto;1;Eastparc Hotel Yogyakarta;4.0;11/03/2022;5
93;1112;BR;1;Eastparc Hotel Yogyakarta;4.8;10/03/2022;5
94;2915;ike Mayang sari;1;Eastparc Hotel Yogyakarta;5.0;08/03/2022;5
95;1151;Buyung loding Prakoso;1;Eastparc Hotel Yogyakarta;5.0;04/03/2022;5
